rank_overall,corpus,feature,importance_mean,importance_sd,discourse_level,feature_simplified
1,COREFL,intra_intra_enh_spat_same_place_hypo_per_1000,0.049868970416045835,0.007328516292759731,intra-sentential,enh_spat_same_place_hypo
2,COREFL,intra_intra_enh_temp_later_hypo_per_1000,0.03904839466138278,0.008504112354593018,intra-sentential,enh_temp_later_hypo
3,COREFL,intersent_intersent_ext_adv_per_1000,0.03260062898568235,0.011991111307343963,inter-sentential,ext_adv
4,GiG,interpara_detected_cases_per_1000,0.029814420167167642,0.0120368823407961,inter-paragraph,detected_cases
5,COREFL,intersent_macro_extension_per_1000,0.025335207734446558,0.012475000950170132,inter-sentential,macro_extension
6,COREFL,interpara_macro_enhancement_per_1000,0.022170183625631334,0.005957251567988726,inter-paragraph,macro_enhancement
7,EFCAMDAT,intra_taxis_hypotactic_per_1000,0.019048083975378848,0.0014306797766286444,intra-sentential,taxis_hypotactic
8,COREFL,intra_macro_extension_per_1000,0.018549541200297635,0.007161963661311748,intra-sentential,macro_extension
9,EFCAMDAT,intersent_macro_enhancement_per_1000,0.016934779173829805,0.002973704544989265,inter-sentential,macro_enhancement
10,GiG,interpara_interpara_elab_clar_sum_per_1000,0.01600312925844243,0.003942790776052113,inter-paragraph,elab_clar_sum
11,GiG,intersent_intersent_ext_add_positive_per_1000,0.01583364306068389,0.0016902345390979946,inter-sentential,ext_add_positive
12,COREFL,interpara_interpara_enh_spatio_temporal_simple_following_per_1000,0.0154192548884517,0.005501397953744939,inter-paragraph,enh_spatio_temporal_simple_following
13,GiG,intra_taxis_paratactic_per_1000,0.015297782838529617,0.005750094148507086,intra-sentential,taxis_paratactic
14,GiG,intra_macro_elaboration_per_1000,0.014974256505065276,0.008312983755065742,intra-sentential,macro_elaboration
15,EFCAMDAT,intra_intra_ext_add_para_per_1000,0.014713533415207425,0.0025687249129760113,intra-sentential,ext_add_para
16,EFCAMDAT,intersent_intersent_enh_spatio_temporal_simple_following_per_1000,0.014062225529328853,0.0023025267863901683,inter-sentential,enh_spatio_temporal_simple_following
17,COREFL,intra_intra_ext_var_subtr_para_per_1000,0.013891252615013321,0.010094569377595338,intra-sentential,ext_var_subtr_para
18,COREFL,intra_intra_enh_temp_sim_hypo_per_1000,0.013413191214112575,0.004735535448563332,intra-sentential,enh_temp_sim_hypo
19,COREFL,interpara_interpara_ext_adv_per_1000,0.013375393807526748,0.0037049206046851652,inter-paragraph,ext_adv
20,COREFL,intra_intra_enh_caus_reason_hypo_per_1000,0.012762117135019268,0.015275508171746555,intra-sentential,enh_caus_reason_hypo
21,EFCAMDAT,intersent_intersent_ext_adv_per_1000,0.012064367963618493,0.0013599838198230171,inter-sentential,ext_adv
22,EFCAMDAT,intra_intra_enh_caus_reason_hypo_per_1000,0.011650767735443202,0.0023640289444799823,intra-sentential,enh_caus_reason_hypo
23,GiG,interpara_macro_elaboration_per_1000,0.01142803687481464,0.003827064498289198,inter-paragraph,macro_elaboration
24,EFCAMDAT,intersent_intersent_enh_spatio_temporal_simple_concl_per_1000,0.011264887832898718,0.0023556357702340237,inter-sentential,enh_spatio_temporal_simple_concl
25,COREFL,intra_detected_cases_per_1000,0.01072079900823351,0.017502108905511748,intra-sentential,detected_cases
26,COREFL,intersent_intersent_enh_spatio_temporal_simple_concl_per_1000,0.009821368800671942,0.012698310944608243,inter-sentential,enh_spatio_temporal_simple_concl
27,COREFL,intersent_macro_elaboration_per_1000,0.009779203147006987,0.002546018880352903,inter-sentential,macro_elaboration
28,EFCAMDAT,intersent_macro_extension_per_1000,0.009690461673787709,0.000546528081171782,inter-sentential,macro_extension
29,EFCAMDAT,intersent_intersent_enh_caus_cond_positive_per_1000,0.009669042367851821,0.001968911247219191,inter-sentential,enh_caus_cond_positive
30,GiG,interpara_macro_enhancement_per_1000,0.009535287523487567,0.009023171766878394,inter-paragraph,macro_enhancement
31,COREFL,interpara_detected_cases_per_1000,0.009513698454362196,0.019870505326995306,inter-paragraph,detected_cases
32,COREFL,interpara_interpara_ext_add_positive_per_1000,0.009433487085651893,0.0030640298450555522,inter-paragraph,ext_add_positive
33,COREFL,intersent_detected_cases_per_1000,0.009260427259828974,0.0064711896197646775,inter-sentential,detected_cases
34,COREFL,intra_intra_enh_manner_comparison_hypo_per_1000,0.008465206289779991,0.0030476772149482744,intra-sentential,enh_manner_comparison_hypo
35,EFCAMDAT,intra_intra_ext_var_subtr_para_per_1000,0.008188182176897962,0.0008817287290649391,intra-sentential,ext_var_subtr_para
36,COREFL,intersent_intersent_enh_caus_reason_per_1000,0.0076020497843310554,0.004005176388684073,inter-sentential,enh_caus_reason
37,COREFL,intra_macro_enhancement_per_1000,0.007535099368033255,0.00944697387257358,intra-sentential,macro_enhancement
38,GiG,intra_intra_enh_temp_sim_hypo_per_1000,0.006613091662935155,0.012379066782441427,intra-sentential,enh_temp_sim_hypo
39,EFCAMDAT,intra_macro_enhancement_per_1000,0.006297991834520666,0.0015905642935444976,intra-sentential,macro_enhancement
40,COREFL,intra_taxis_hypotactic_per_1000,0.006137192026993527,0.015627949706713006,intra-sentential,taxis_hypotactic
41,COREFL,interpara_interpara_enh_spatio_temporal_simple_concl_per_1000,0.006105957125417538,0.002184942298493931,inter-paragraph,enh_spatio_temporal_simple_concl
42,EFCAMDAT,intersent_intersent_enh_spatio_temporal_complex_specific_per_1000,0.006077304211088275,0.0004999331669668368,inter-sentential,enh_spatio_temporal_complex_specific
43,GiG,intra_intra_enh_caus_reason_para_per_1000,0.005883601366326941,0.008992260698877277,intra-sentential,enh_caus_reason_para
44,EFCAMDAT,intersent_intersent_ext_add_positive_per_1000,0.005196473006851443,0.0008538042362753821,inter-sentential,ext_add_positive
45,COREFL,intra_intra_ext_add_para_per_1000,0.005195117798996974,0.005398805563208261,intra-sentential,ext_add_para
46,GiG,intersent_detected_cases_per_1000,0.004412353874015185,0.010446423870504594,inter-sentential,detected_cases
47,EFCAMDAT,intra_macro_extension_per_1000,0.004353020798581864,0.002655344341141231,intra-sentential,macro_extension
48,EFCAMDAT,intra_intra_enh_caus_cond_hypo_per_1000,0.004267372192509655,0.0009159241826322574,intra-sentential,enh_caus_cond_hypo
49,COREFL,interpara_interpara_enh_caus_reason_per_1000,0.00422591165448305,0.0014140013902085259,inter-paragraph,enh_caus_reason
50,COREFL,intra_intra_enh_caus_conc_hypo_per_1000,0.004038096179992623,0.0023705112551436563,intra-sentential,enh_caus_conc_hypo
51,EFCAMDAT,intersent_macro_elaboration_per_1000,0.004007493432557685,0.0006149436629323412,inter-sentential,macro_elaboration
52,EFCAMDAT,intersent_intersent_enh_caus_general_per_1000,0.0037913533306451084,0.0006752289866835143,inter-sentential,enh_caus_general
53,EFCAMDAT,intra_macro_elaboration_per_1000,0.003720035407989886,0.001162225600256438,intra-sentential,macro_elaboration
54,COREFL,intersent_intersent_enh_caus_general_per_1000,0.0034203278240513167,0.0044253440380991405,inter-sentential,enh_caus_general
55,GiG,intersent_intersent_enh_caus_general_per_1000,0.003384615636502808,0.0010591331202639373,inter-sentential,enh_caus_general
56,GiG,intra_intra_enh_spat_different_place_hypo_per_1000,0.00321555723843705,0.005321744136591405,intra-sentential,enh_spat_different_place_hypo
57,GiG,interpara_macro_extension_per_1000,0.0029838692235774843,0.006026426611010049,inter-paragraph,macro_extension
58,EFCAMDAT,intra_intra_enh_temp_later_hypo_per_1000,0.002798895074224883,0.001370937918965575,intra-sentential,enh_temp_later_hypo
59,EFCAMDAT,intra_intra_enh_temp_later_para_per_1000,0.002681227631458949,0.0009430459522239325,intra-sentential,enh_temp_later_para
60,EFCAMDAT,intra_intra_enh_temp_sim_hypo_per_1000,0.0025278133873070986,0.000923977542133891,intra-sentential,enh_temp_sim_hypo
61,EFCAMDAT,intra_intra_ext_var_repl_hypo_per_1000,0.0025024363447148533,0.00036559912127239597,intra-sentential,ext_var_repl_hypo
62,GiG,intra_intra_enh_caus_cond_hypo_per_1000,0.0024767920280413303,0.010772194688959954,intra-sentential,enh_caus_cond_hypo
63,GiG,interpara_interpara_enh_caus_reason_per_1000,0.0024568249701739098,0.0017519657865096465,inter-paragraph,enh_caus_reason
64,GiG,interpara_interpara_enh_spatio_temporal_simple_following_per_1000,0.0023211713606219875,0.0065504454973400504,inter-paragraph,enh_spatio_temporal_simple_following
65,COREFL,intra_intra_enh_spat_different_place_hypo_per_1000,0.0021995730202275855,0.0047273495248637,intra-sentential,enh_spat_different_place_hypo
66,GiG,interpara_interpara_enh_spatio_temporal_complex_interrupted_per_1000,0.0019998730941730436,0.0,inter-paragraph,enh_spatio_temporal_complex_interrupted
67,COREFL,intersent_intersent_elab_clar_sum_per_1000,0.001961268292934526,0.005195543997725993,inter-sentential,elab_clar_sum
68,GiG,interpara_interpara_enh_spatio_temporal_complex_specific_per_1000,0.001953943839185157,0.005121275649933052,inter-paragraph,enh_spatio_temporal_complex_specific
69,EFCAMDAT,intersent_detected_cases_per_1000,0.0018664601967962823,0.00391831825273387,inter-sentential,detected_cases
70,COREFL,intersent_intersent_enh_caus_cond_positive_per_1000,0.0018641032031223692,0.004203462805785129,inter-sentential,enh_caus_cond_positive
71,EFCAMDAT,intra_detected_cases_per_1000,0.001860024909020419,0.0019906694702112285,intra-sentential,detected_cases
72,GiG,intersent_macro_extension_per_1000,0.0017982615450425233,0.008848958639137296,inter-sentential,macro_extension
73,EFCAMDAT,intra_intra_enh_temp_earlier_hypo_per_1000,0.0017875669270537298,0.0008098233456536233,intra-sentential,enh_temp_earlier_hypo
74,COREFL,interpara_macro_elaboration_per_1000,0.001759064970223634,0.006493073896233356,inter-paragraph,macro_elaboration
75,GiG,intra_intra_elab_clar_para_per_1000,0.0015429091107206471,0.001319262250970202,intra-sentential,elab_clar_para
76,GiG,intersent_intersent_enh_spatio_temporal_complex_interrupted_per_1000,0.0014362382726250678,0.0011272696430959517,inter-sentential,enh_spatio_temporal_complex_interrupted
77,COREFL,interpara_interpara_enh_spatio_temporal_complex_specific_per_1000,0.0014136201855932118,0.00290451064948904,inter-paragraph,enh_spatio_temporal_complex_specific
78,COREFL,intersent_intersent_enh_spatio_temporal_complex_repetitive_per_1000,0.0013882735364611708,0.0027765470729223416,inter-sentential,enh_spatio_temporal_complex_repetitive
79,EFCAMDAT,intra_intra_elab_exemp_para_per_1000,0.0011597786224987416,0.00046279566257128934,intra-sentential,elab_exemp_para
80,EFCAMDAT,intra_intra_ext_add_hypo_per_1000,0.0011297342415371946,0.000160451981938081,intra-sentential,ext_add_hypo
81,EFCAMDAT,intra_intra_enh_caus_conc_para_per_1000,0.0011170020893133347,0.0013072678326579703,intra-sentential,enh_caus_conc_para
82,GiG,interpara_interpara_enh_caus_general_per_1000,0.0010576990811109188,0.0013112899532601067,inter-paragraph,enh_caus_general
83,COREFL,intra_intra_enh_caus_conc_para_per_1000,0.0010230003353670746,0.00295918367346939,intra-sentential,enh_caus_conc_para
84,COREFL,intra_intra_enh_temp_later_para_per_1000,0.0010102278673707165,0.002020455734741433,intra-sentential,enh_temp_later_para
85,COREFL,interpara_interpara_enh_spatio_temporal_complex_durative_per_1000,0.0010102278673707165,0.002020455734741433,inter-paragraph,enh_spatio_temporal_complex_durative
